	group
case1lung1HIGH	HIGH
case1lung2HIGH	HIGH
case1lung3HIGH	HIGH
case1lung4HIGH	HIGH
case9lung1HIGH	HIGH
case9lung2HIGH	HIGH
case9lung3HIGH	HIGH
case9lung4HIGH	HIGH
case9lung5HIGH	HIGH
caseClungNYCHIGH	HIGH
case2lung1LOW	LOW
case2lung2LOW	LOW
case2lung3LOW	LOW
case3lung1LOW	LOW
case3lung2LOW	LOW
case4lung1LOW	LOW
case6lung1LOW	LOW
case6lung2LOW	LOW
case6lung3LOW	LOW
case6lung4LOW	LOW
case6lung5LOW	LOW
case10lung1LOW	LOW
case10lung2LOW	LOW
case10lung3LOW	LOW
caseBlungNYCLOW	LOW
