"logFC" "AveExpr" "t" "P.Value" "adj.P.Val" "B"
"RNASE2" 10.826476352899 0.706061623303323 8.12036350760151 0.000183546139021521 0.0655940707655654 -4.58370540100053
"FDCSP" 10.8885053492415 1.34827233214279 7.91120366841451 0.00021226323774469 0.0655940707655654 -4.58376585223724
"CYP19A1" 8.85585530269933 0.881715145647182 6.56806408236309 0.000587544793891017 0.0655940707655654 -4.58427901972025
"GABRA5" 8.34206718052312 -1.32862421324518 6.47889103192662 0.000632275449665676 0.0655940707655654 -4.58432289846065
"MYL1" 8.26183484442649 -1.3687403812935 6.42678288732269 0.000660216111195436 0.0655940707655654 -4.58434924490734
"EBLN1" 8.17154872160558 -1.41388344270395 6.35810484742506 0.000699229584318552 0.0655940707655654 -4.5843847922679
"SELL" 8.30659475555349 8.53865289951736 6.29026710318266 0.000740379284830756 0.0655940707655654 -4.58442085218498
"TCF23" 7.94781923311997 -1.52574818694676 6.14449028982908 0.000838545358421485 0.0655940707655654 -4.58450167892377
"BPIFB2" 7.94781923311997 -1.52574818694676 6.14449028982908 0.000838545358421485 0.0655940707655654 -4.58450167892377
"ST20" 7.8181673253502 5.35479549398384 6.00318042608685 0.000948163019432641 0.0655940707655654 -4.58458464046173
"SSTR5" 7.80306592452248 -1.5981248412455 5.97656935974811 0.000970592178464585 0.0655940707655654 -4.58460079859804
"HMX1" 7.62178088483012 -0.896286110731102 5.94702622196599 0.000996205971170686 0.0655940707655654 -4.58461894237079
"ACOT6" 7.46935359406591 -0.972499756113207 5.85245722618833 0.0010835401700088 0.0655940707655654 -4.58467851135637
"CPLX2" 7.88112552548112 1.0055464677063 5.73960552848408 0.00119942428418792 0.0655940707655654 -4.58475268996851
"CLEC4E" 7.21510481234909 7.55930736918911 5.69071422774919 0.00125397405951278 0.0655940707655654 -4.58478591821982
"ECRP" 8.4142621351907 -1.29252673591139 5.57467213617736 0.00139515295388979 0.0655940707655654 -4.58486755480403
