	gene	logFC	AveExpr	t	PValue	adjPVal	B
IFI6	IFI6	7.1776	13.6855	62.6608	0.0000	0.0416	2.8234
DAPP1	DAPP1	5.3198	9.5271	40.7539	0.0001	0.0416	2.4574
MX1	MX1	4.8482	12.2353	38.6539	0.0001	0.0416	2.3942
CLEC4E	CLEC4E	7.4028	11.3749	37.9561	0.0001	0.0416	2.3713
CASP5	CASP5	5.0590	8.6360	37.1177	0.0001	0.0416	2.3426
FFAR2	FFAR2	6.4971	10.1686	35.2980	0.0001	0.0416	2.2748
RAC2	RAC2	3.8602	11.8497	31.1533	0.0001	0.0416	2.0869
TREM1	TREM1	4.5248	11.1755	28.9204	0.0002	0.0416	1.9616
TNFSF10	TNFSF10	4.5746	12.1425	28.7743	0.0002	0.0416	1.9527
TREML3P	TREML3P	3.7333	7.7467	27.8337	0.0002	0.0416	1.8931
LGALS9	LGALS9	3.5443	11.3215	26.9698	0.0002	0.0416	1.8346
CXCL16	CXCL16	3.2593	11.6221	26.7020	0.0002	0.0416	1.8157
CYP19A1	CYP19A1	3.9088	7.3177	26.6198	0.0002	0.0416	1.8099
ALOX5AP	ALOX5AP	6.2144	12.7068	26.0076	0.0002	0.0416	1.7650
PTK2B	PTK2B	3.8377	11.0414	25.2922	0.0002	0.0416	1.7098
HCK	HCK	2.7985	10.7928	24.9444	0.0002	0.0416	1.6819
ZC3HAV1	ZC3HAV1	3.4884	11.5295	24.8897	0.0002	0.0416	1.6775
PLAC8	PLAC8	3.8467	9.6419	24.1251	0.0003	0.0416	1.6132
ST20	ST20	6.8379	9.7565	23.9457	0.0003	0.0416	1.5975
FDCSP	FDCSP	5.4337	8.0010	21.9213	0.0003	0.0416	1.4047
TRIM21	TRIM21	3.0901	10.4027	21.6234	0.0004	0.0416	1.3736
TLE4	TLE4	2.6830	9.6468	21.1623	0.0004	0.0416	1.3240
BASP1	BASP1	4.0718	11.5338	20.1227	0.0004	0.0416	1.2048
ZBP1	ZBP1	3.4269	7.9723	20.0985	0.0004	0.0416	1.2019
KLK10	KLK10	3.9032	8.8989	20.0770	0.0004	0.0416	1.1993
WIPF1	WIPF1	2.3939	10.4371	19.7917	0.0005	0.0416	1.1646
METTL7B	METTL7B	2.3545	6.6711	19.6145	0.0005	0.0416	1.1426
CERS6	CERS6	2.4488	8.0154	19.2357	0.0005	0.0416	1.0945
HSH2D	HSH2D	4.2234	8.9230	19.0770	0.0005	0.0416	1.0739
S100A11	S100A11	4.4486	14.6746	18.8674	0.0005	0.0416	1.0462
STAT2	STAT2	2.3554	10.8830	18.7197	0.0005	0.0416	1.0264
TAOK3	TAOK3	3.1629	10.2652	18.5327	0.0005	0.0416	1.0010
TRIM38	TRIM38	4.2132	10.8972	18.4762	0.0005	0.0416	0.9932
PLP2	PLP2	2.4331	11.3802	18.4719	0.0005	0.0416	0.9926
MSMO1	MSMO1	2.1889	9.7341	18.1669	0.0006	0.0416	0.9500
C19ORF66	C19ORF66	3.8901	10.8223	17.9042	0.0006	0.0416	0.9123
MXD1	MXD1	4.9895	11.6460	17.9034	0.0006	0.0416	0.9122
PADI2	PADI2	4.2443	8.9215	17.8949	0.0006	0.0416	0.9109
CD38	CD38	2.2730	7.4678	17.7960	0.0006	0.0416	0.8965
TET2	TET2	2.3199	9.0819	17.6588	0.0006	0.0416	0.8763
P2RY13	P2RY13	6.5491	9.5865	17.5438	0.0006	0.0416	0.8592
TMEM71	TMEM71	3.8052	8.8363	17.1109	0.0007	0.0416	0.7931
FCER1G	FCER1G	7.1125	14.1999	16.9234	0.0007	0.0416	0.7636
SH3BGRL3	SH3BGRL3	2.9494	13.5637	16.7161	0.0007	0.0416	0.7305
LCP1	LCP1	4.1459	12.8424	16.2003	0.0008	0.0416	0.6452
YIPF1	YIPF1	1.8240	8.9549	16.0496	0.0008	0.0416	0.6195
HP	HP	1.8822	7.6909	15.8171	0.0008	0.0416	0.5792
LILRA6	LILRA6	5.4992	9.7715	15.7799	0.0008	0.0416	0.5726
EIF2AK2	EIF2AK2	5.8701	10.5396	15.7027	0.0009	0.0416	0.5590
TNFSF8	TNFSF8	2.2703	7.9982	15.5407	0.0009	0.0416	0.5300
STAP1	STAP1	5.0370	8.4880	15.3400	0.0009	0.0416	0.4936
HPGDS	HPGDS	1.9920	8.2100	15.2378	0.0009	0.0416	0.4747
BCL2A1	BCL2A1	6.3646	12.8711	15.1775	0.0009	0.0416	0.4635
SP140	SP140	5.1011	9.3682	15.1710	0.0009	0.0416	0.4623
GSK3A	GSK3A	2.0767	9.9251	15.0107	0.0010	0.0416	0.4321
OAS1	OAS1	6.2611	11.2966	14.7159	0.0010	0.0416	0.3755
SELL	SELL	8.5898	12.3057	14.6870	0.0010	0.0416	0.3699
SLC9B2	SLC9B2	2.1402	9.2398	14.6463	0.0010	0.0416	0.3619
PLEK	PLEK	6.5675	12.6105	14.5396	0.0011	0.0418	0.3408
DHRS9	DHRS9	2.0806	7.6688	14.5022	0.0011	0.0418	0.3334
S100P	S100P	3.9222	9.9067	14.5012	0.0011	0.0418	0.3332
MMP8	MMP8	4.8508	8.4352	14.4707	0.0011	0.0419	0.3271
SERPINA1	SERPINA1	3.6621	13.6439	14.3424	0.0011	0.0420	0.3014
RTP4	RTP4	3.4262	8.7756	14.3371	0.0011	0.0420	0.3003
KCNH7	KCNH7	3.8933	7.7884	14.2806	0.0011	0.0421	0.2888
CCL8	CCL8	7.0072	11.9994	14.0218	0.0012	0.0428	0.2355
UBE2L6	UBE2L6	3.2563	11.7618	13.9081	0.0012	0.0430	0.2117
CASP4	CASP4	3.4312	12.2297	13.8508	0.0012	0.0430	0.1995
GBP1P1	GBP1P1	3.0089	8.5281	13.6575	0.0013	0.0433	0.1581
IFITM1	IFITM1	5.0111	13.7490	13.6058	0.0013	0.0433	0.1469
ANXA3	ANXA3	1.6882	10.8230	13.4706	0.0013	0.0436	0.1173
SERF2	SERF2	2.8845	12.6592	13.3953	0.0013	0.0437	0.1006
IFIT1	IFIT1	6.4460	11.5361	13.3266	0.0013	0.0437	0.0853
RNASE2	RNASE2	4.8415	7.6583	13.3042	0.0014	0.0438	0.0803
CXORF21	CXORF21	3.7354	7.9206	13.1232	0.0014	0.0442	0.0393
PFN1	PFN1	2.5686	14.7434	13.1121	0.0014	0.0442	0.0367
IFIT3	IFIT3	6.0584	12.4936	12.9875	0.0014	0.0445	0.0080
FAM49A	FAM49A	1.8188	9.4999	12.9724	0.0014	0.0445	0.0045
POGLUT1	POGLUT1	1.5187	8.4467	12.9673	0.0014	0.0445	0.0034
DOK3	DOK3	4.0627	9.5715	12.8563	0.0015	0.0451	-0.0226
CCL11	CCL11	6.0886	10.9454	12.8467	0.0015	0.0451	-0.0248
ISG15	ISG15	5.3753	12.6734	12.8325	0.0015	0.0451	-0.0282
C1ORF194	C1ORF194	2.0250	6.9651	12.7017	0.0015	0.0457	-0.0592
LYRM1	LYRM1	2.0250	9.9753	12.5245	0.0016	0.0457	-0.1019
CPNE8	CPNE8	1.5333	9.2754	12.5214	0.0016	0.0457	-0.1026
DDX60L	DDX60L	5.1716	10.7959	12.5189	0.0016	0.0457	-0.1032
WAS	WAS	4.7416	9.4159	12.5157	0.0016	0.0457	-0.1040
BCL2L14	BCL2L14	3.4702	7.6795	12.4910	0.0016	0.0457	-0.1100
PSME3	PSME3	2.5692	11.4849	12.4163	0.0016	0.0460	-0.1283
CCL19	CCL19	4.1790	9.5531	12.4143	0.0016	0.0460	-0.1288
TIMM23	TIMM23	2.8022	10.1641	12.3870	0.0016	0.0461	-0.1355
CISD2	CISD2	1.9337	8.6465	12.3203	0.0017	0.0464	-0.1521
NFKBID	NFKBID	3.0303	9.3245	12.0344	0.0018	0.0479	-0.2242
CCL7	CCL7	4.5305	8.3294	12.0065	0.0018	0.0479	-0.2313
GPR84	GPR84	5.7629	10.1132	11.7846	0.0019	0.0486	-0.2890
CACNA1A	CACNA1A	4.3593	8.1171	11.7675	0.0019	0.0486	-0.2936
EIF1B	EIF1B	2.5061	11.4329	11.5612	0.0020	0.0495	-0.3485
C2CD4B	C2CD4B	1.6818	9.4010	11.5384	0.0020	0.0495	-0.3547
NME1	NME1	2.4402	9.5301	11.5345	0.0020	0.0495	-0.3557
GAPT	GAPT	5.0651	8.6691	11.4180	0.0021	0.0496	-0.3875
MX2	MX2	5.8224	11.3090	11.4094	0.0021	0.0496	-0.3898
CYSTM1	CYSTM1	3.2616	12.3467	11.4046	0.0021	0.0496	-0.3911
HESX1	HESX1	3.3577	7.3091	11.3742	0.0021	0.0496	-0.3995
ABHD16A	ABHD16A	1.2973	9.4706	11.3154	0.0021	0.0496	-0.4157
NBN	NBN	4.5922	10.9019	11.2639	0.0021	0.0497	-0.4300
RGL4	RGL4	3.2771	8.8751	11.2201	0.0022	0.0498	-0.4423
U2AF2	U2AF2	1.3388	10.9096	11.2121	0.0022	0.0498	-0.4445
PAK2	PAK2	1.4921	10.7463	11.1938	0.0022	0.0498	-0.4496
