"Series15_HealthyLungBiopsy_2" "Series15_HealthyLungBiopsy_1" "Series15_COVID19Lung_2" "Series15_COVID19Lung_1"
"DDX11L1" -5.05836169817267 -5.94095390884082 -1.26666662339617 2.70355786398533
"WASH7P" 3.97230543807427 2.19347241138011 -1.26666662339617 2.70355786398533
"FAM138A" -5.05836169817267 -5.94095390884082 -1.26666662339617 2.70355786398533
"FAM138F" -5.05836169817267 -5.94095390884082 -1.26666662339617 2.70355786398533
"OR4F5" -5.05836169817267 -5.94095390884082 -1.26666662339617 2.70355786398533
"LOC729737" -0.104165387785792 1.19859744355798 3.8626163935488 2.70355786398533
"LOC100132287" -5.05836169817267 -5.94095390884082 -1.26666662339617 2.70355786398533
"LOC100132062" -5.05836169817267 -5.94095390884082 -1.26666662339617 2.70355786398533
"LOC100133331" -0.534799742115655 -0.51468915413872 -1.26666662339617 2.70355786398533
"OR4F29" -5.05836169817267 -5.94095390884082 -1.26666662339617 2.70355786398533
"OR4F16" -5.05836169817267 -5.94095390884082 -1.26666662339617 2.70355786398533
"OR4F3" -5.05836169817267 -5.94095390884082 -1.26666662339617 2.70355786398533
"LOC100288069" -1.88843669673036 -2.24051419069973 -1.26666662339617 2.70355786398533
"LINC00115" 1.62813882901055 0.598204902267214 -1.26666662339617 2.70355786398533
"FAM41C" -5.05836169817267 -5.94095390884082 -1.26666662339617 2.70355786398533
"SAMD11" 0.614063643798828 -2.48152229020352 -1.26666662339617 2.70355786398533
"NOC2L" 6.02312173992101 6.01723627485292 -1.26666662339617 4.28852036470649
"KLHL17" 1.78712835277171 2.52257046443036 -1.26666662339617 2.70355786398533
"PLEKHN1" -1.15147110256415 0.53477952212558 -1.26666662339617 2.70355786398533
"HES4" 4.22008776004781 3.29983742332114 3.37718956637856 2.70355786398533
"ISG15" 6.39130284030352 7.05392983313002 10.8571314678557 12.0456325319845
"AGRN" 5.28260106607903 4.69476421149023 5.24112801680253 4.28852036470649
"RNF223" -5.05836169817267 -0.896559789482364 -1.26666662339617 2.70355786398533
"C1orf159" 3.20373314719751 2.76985252485853 -1.26666662339617 2.70355786398533
"MIR200B" -5.05836169817267 -5.94095390884082 -1.26666662339617 2.70355786398533
"MIR200A" -5.05836169817267 -5.94095390884082 -1.26666662339617 2.70355786398533
"MIR429" -5.05836169817267 -4.35599140811966 -1.26666662339617 2.70355786398533
"TTLL10" -0.534799742115655 -1.18606640667735 -1.26666662339617 2.70355786398533
"TNFRSF18" 1.86050153910193 3.11703781391836 1.05526147149119 2.70355786398533
"TNFRSF4" 1.62813882901055 3.15444311395174 2.82079621785417 2.70355786398533
"SDF4" 6.97196058447137 6.39973074552262 5.36268999668344 6.79102070523567
"B3GALT6" 4.24769999125567 3.73323835930487 3.77772749596228 2.70355786398533
