chr	start	end	peaknb	peakscore	Gene_Symbol	distance	score
chr1	629856	630439	peak1	27.57599	OR4F29	-56507	0.0632740491453
chr1	629856	630439	peak1	27.57599	MIR6723	-2266	0.553972628774
chr1	629856	630439	peak1	27.57599	OR4F3	-56507	0.0632740491453
chr1	629856	630439	peak1	27.57599	OR4F16	-56507	0.0632740491453
chr1	629856	630439	peak1	27.57599	LOC101928626	1138	0.579540343994
chr1	8974069	8974297	peak10	5.37650	SLC2A5	-95645	0.0132229674901
chr1	8974069	8974297	peak10	5.37650	CA6	28350	0.195147421179
chr1	8974069	8974297	peak10	5.37650	SLC2A7	-52162	0.0752845759364
chr1	8974069	8974297	peak10	5.37650	ENO1-AS1	95349	0.0133804579287
chr1	8974069	8974297	peak10	5.37650	ENO1	95091	0.0135192592374
chr1	40014259	40014445	peak100	13.81719	CAP1	-26230	0.212417840143
chr1	40014259	40014445	peak100	13.81719	MFSD2A	59241	0.0567193418679
chr1	40014259	40014445	peak100	13.81719	PPT1	-83118	0.0218245455484
chr12	53365945	53366123	peak1000	10.87162	PCBP2	-86067	0.0193961633099
chr12	53365945	53366123	peak1000	10.87162	AAAS	44406	0.102669519266
chr12	53365945	53366123	peak1000	10.87162	SP1	-14609	0.338118112255
chr12	53365945	53366123	peak1000	10.87162	SP7	30281	0.180641658026
chr12	53365945	53366123	peak1000	10.87162	PFDN5	70584	0.0360315620865
chr12	53365945	53366123	peak1000	10.87162	PRR13	-75614	0.0294647690157
chr12	53365945	53366123	peak1000	10.87162	AMHR2	-57820	0.0600366541971
chr12	53365945	53366123	peak1000	10.87162	SP7	21241	0.259333603941
chr12	53365945	53366123	peak1000	10.87162	SP7	29651	0.18525167
chr12	53365945	53366123	peak1000	10.87162	SP1	-14160	0.344245573446
chr12	53365945	53366123	peak1000	10.87162	C12orf10	66349	0.0426827679965
chr12	53365945	53366123	peak1000	10.87162	ESPL1	97736	0.0121619871361
chr12	53365945	53366123	peak1000	10.87162	PCBP2-OT1	-98433	0.0118275940344
chr12	53561687	53561971	peak1001	7.94356	ATF7	-64167	0.0465755292112
chr12	53561687	53561971	peak1001	7.94356	TARBP2	60237	0.0545040646151
chr12	53561687	53561971	peak1001	7.94356	MAP3K12	62169	0.0504506322526
chr12	53561687	53561971	peak1001	7.94356	LOC100652999	47846	0.0894710651845
chr12	53561687	53561971	peak1001	7.94356	ATF7	-64586	0.0458014284264
chr12	53561687	53561971	peak1001	7.94356	TARBP2	60909	0.0530585106412
chr12	53561687	53561971	peak1001	7.94356	PCBP2-OT1	97362	0.0123452982117
chr12	53561687	53561971	peak1001	7.94356	NPFF	54191	0.0694158535665
chr12	54383216	54383391	peak1002	5.02302	ITGA5	-35963	0.143916789086
chr12	54383216	54383391	peak1002	5.02302	ZNF385A	-2486	0.54911905668
chr12	54383216	54383391	peak1002	5.02302	COPZ1	58214	0.0590978933926
chr12	54383216	54383391	peak1002	5.02302	GTSF1	-90299	0.0163756467837
chr12	54383216	54383391	peak1002	5.02302	NFE2	82266	0.0225811452925
chr12	54383216	54383391	peak1002	5.02302	LOC102724050	29613	0.18553346665
chr12	54383216	54383391	peak1002	5.02302	ZNF385A	-8002	0.440396421383
chr12	54383216	54383391	peak1002	5.02302	ZNF385A	-1427	0.572879431866
chr12	54383216	54383391	peak1002	5.02302	LOC102724050	-36481	0.140965514011
chr12	54383216	54383391	peak1002	5.02302	MIR148B	46088	0.0959891610133
chr12	54383216	54383391	peak1002	5.02302	NFE2	87524	0.0182980643125
