"chr"	"start"	"end"	"peaknb"	"peakscore"	"name"
"chr1"	629856	630439	"peak1"	27.57599	"MIR6723"
"chr1"	629856	630439	"peak1"	27.57599	"LOC101928626"
"chr12"	54383216	54383391	"peak1002"	5.02302	"ZNF385A"
"chr12"	54423277	54423451	"peak1004"	6.44837	"ITGA5"
"chr12"	54423277	54423451	"peak1004"	6.44837	"LOC102724050"
"chr12"	55842914	55843099	"peak1007"	8.42995	"MMP19"
"chr12"	56321148	56321322	"peak1008"	5.27516	"CNPY2"
"chr12"	57248950	57249165	"peak1011"	9.35846	"STAC3"
"chr12"	57520597	57520771	"peak1012"	5.48643	"DDIT3"
"chr12"	57520597	57520771	"peak1012"	5.48643	"MBD6"
"chr12"	57520597	57520771	"peak1012"	5.48643	"MIR616"
"chr12"	57771325	57771519	"peak1013"	6.61608	"METTL21B"
"chr12"	57771325	57771519	"peak1013"	6.61608	"METTL1"
"chr12"	57771325	57771519	"peak1013"	6.61608	"CYP27B1"
"chr12"	58594027	58594226	"peak1015"	4.78451	"LOC100506869"
"chr12"	59597515	59597734	"peak1016"	6.44837	"SLC16A7"
"chr12"	64625669	64625916	"peak1022"	4.69417	"MIR548C"
"chr12"	64625669	64625916	"peak1022"	4.69417	"MIR548Z"
"chr12"	69689233	69689407	"peak1029"	6.50302	"BEST3"
"chr1"	40095860	40096053	"peak106"	8.28411	"PPT1"
"chr12"	106246311	106246485	"peak1070"	4.4243	"CKAP4"
"chr12"	107759498	107759698	"peak1072"	11.53301	"PRDM4"
"chr12"	108734423	108734621	"peak1075"	6.87954	"CORO1C"
"chr12"	108838461	108838646	"peak1076"	5.1036	"MIR619"
"chr1"	40245107	40245314	"peak108"	10.05295	"TMCO2"
"chr12"	110578425	110578783	"peak1082"	8.94172	"PPTC7"
"chr12"	113962469	113962673	"peak1089"	4.86629	"RBM19"
"chr1"	9067255	9067497	"peak11"	9.24143	"SLC2A5"
"chr1"	40313610	40313840	"peak110"	10.14206	"COL9A2"
"chr12"	121277080	121277330	"peak1101"	6.37432	"CAMKK2"
"chr12"	122830869	122831113	"peak1107"	10.73306	"HIP1R"
"chr1"	40375633	40375953	"peak111"	16.14364	"SMAP2"
"chr12"	132327421	132327671	"peak1125"	3.04194	"GALNT9"
"chr12"	132327421	132327671	"peak1125"	3.04194	"LOC101928416"
"chr13"	23378228	23378468	"peak1134"	13.41558	"SACS"
"chr1"	40394797	40395090	"peak114"	23.89993	"SMAP2"
"chr13"	28708049	28708231	"peak1142"	8.84021	"RNU6-53P"
"chr13"	30711440	30711656	"peak1146"	6.21278	"ALOX5AP"
"chr13"	33679336	33679510	"peak1150"	3.36359	"STARD13"
"chr13"	41310978	41311206	"peak1158"	7.07239	"NAA16"
"chr1"	40450960	40451263	"peak116"	28.15272	"ZFP69B"
"chr13"	42562107	42562360	"peak1161"	9.73245	"TNFSF11"
"chr13"	42808004	42808204	"peak1163"	6.14119	"LINC01050"
"chr13"	42876286	42876538	"peak1164"	6.69742	"LINC00428"
"chr1"	40662889	40663121	"peak120"	11.5962	"RIMS3"
"chr1"	40691604	40691804	"peak121"	10.78466	"NFYC"
"chr1"	40691604	40691804	"peak121"	10.78466	"NFYC-AS1"
"chr13"	109162272	109162487	"peak1219"	4.11489	"MYO16-AS1"
"chr13"	110870256	110870547	"peak1223"	30.06254	"LINC00346"
"chr13"	110965339	110965625	"peak1225"	7.87505	"LINC00431"
"chr13"	113410919	113411192	"peak1227"	5.85432	"LOC101928841"
"chr13"	113493279	113493577	"peak1228"	11.89595	"TMCO3"
"chr13"	113493279	113493577	"peak1228"	11.89595	"DCUN1D2"
"chr13"	114129059	114129251	"peak1230"	8.14552	"RASA3"
"chr14"	20469980	20470175	"peak1234"	6.78766	"PNP"
"chr14"	20986923	20987141	"peak1236"	10.4871	"METTL17"
"chr14"	24033096	24033300	"peak1241"	7.52215	"DHRS4L1"
"chr14"	24053291	24053477	"peak1242"	5.3765	"LRRC16B"
"chr14"	24243345	24243593	"peak1243"	12.60582	"TINF2"
"chr14"	50038557	50038861	"peak1255"	9.75931	"LOC100506499"
"chr14"	64826417	64826637	"peak1269"	14.11572	"SPTB"
"chr14"	67414172	67414480	"peak1274"	29.81029	"PLEK2"
"chr14"	74488877	74489056	"peak1287"	6.53244	"NPC2"
"chr14"	74488877	74489056	"peak1287"	6.53244	"ISCA2"
"chr14"	74616611	74616821	"peak1290"	9.70391	"LTBP2"
"chr14"	76829149	76829340	"peak1295"	9.93295	"LRRC74A"
"chr1"	9290124	9290382	"peak13"	6.87954	"SPSB1"
"chr14"	89956516	89956735	"peak1306"	9.04481	"EFCAB11"
"chr14"	89956516	89956735	"peak1306"	9.04481	"TDP1"
"chr14"	91243477	91243854	"peak1308"	8.5826	"GPR68"
"chr14"	93959487	93959746	"peak1317"	16.14389	"ASB2"
"chr14"	95140543	95140728	"peak1320"	6.26064	"DICER1"
"chr14"	95140543	95140728	"peak1320"	6.26064	"MIR3173"
"chr14"	101073315	101073497	"peak1327"	6.63171	"MEG9"
"chr14"	101731323	101731534	"peak1328"	7.84316	"LINC00239"
"chr14"	102362119	102362298	"peak1330"	8.73063	"CINP"
"chr14"	102362119	102362298	"peak1330"	8.73063	"TECPR2"
"chr14"	103527438	103527688	"peak1336"	15.05771	"CKB"
"chr14"	103527438	103527688	"peak1336"	15.05771	"TRMT61A"
"chr14"	104677850	104678089	"peak1338"	5.18816	"MIR4710"
"chr14"	105024930	105025148	"peak1339"	9.62294	"CDCA4"
"chr15"	22981980	22982204	"peak1344"	6.61608	"CYFIP1"
"chr15"	25905252	25905486	"peak1347"	6.03304	"LOC100128714"
"chr15"	41490389	41490675	"peak1361"	12.80723	"ITPKA"
"chr15"	44728527	44728830	"peak1366"	8.8807	"LOC100419583"
"chr15"	45122168	45122344	"peak1367"	5.93226	"DUOXA1"
"chr15"	52780274	52780500	"peak1381"	4.86629	"ONECUT1"
"chr15"	62068913	62069100	"peak1394"	8.26291	"C2CD4A"
"chr15"	63870074	63870248	"peak1399"	4.05524	"MIR422A"
"chr1"	9687324	9687498	"peak14"	5.50166	"PIK3CD-AS2"
"chr1"	42529887	42530289	"peak143"	37.39508	"CCDC30"
"chr15"	72228442	72228660	"peak1432"	6.70603	"PKM"
"chr15"	74790709	74790931	"peak1434"	6.14631	"MIR4513"
"chr15"	79971143	79971363	"peak1443"	9.70391	"BCL2A1"
"chr15"	85623740	85623914	"peak1456"	5.52809	"AKAP13"
"chr15"	88623150	88623426	"peak1458"	21.27794	"AEN"
"chr15"	89848723	89848908	"peak1462"	8.30315	"MIR5094"
"chr15"	89998449	89998623	"peak1463"	4.11489	"ZNF710"
"chr15"	90004803	90005027	"peak1464"	14.92034	"MIR3174"
"chr15"	90004803	90005027	"peak1464"	14.92034	"ZNF710"
"chr16"	525656	525853	"peak1487"	10.43182	"CAPN15"
"chr16"	525656	525853	"peak1487"	10.43182	"LINC00235"
"chr16"	535658	535867	"peak1488"	7.81143	"MIR5587"
"chr1"	43368463	43368672	"peak152"	11.56439	"ELOVL1"
"chr1"	43368463	43368672	"peak152"	11.56439	"MIR6734"
"chr16"	24669478	24669770	"peak1520"	7.03039	"LINC01567"
"chr16"	28494184	28494371	"peak1526"	5.50166	"CLN3"
"chr16"	28494184	28494371	"peak1526"	5.50166	"APOBR"
"chr16"	28984676	28984875	"peak1527"	6.63171	"LAT"
"chr16"	30051562	30051737	"peak1532"	7.52215	"ALDOA"
"chr16"	30065395	30065569	"peak1533"	5.16406	"ALDOA"
"chr16"	56608421	56608595	"peak1570"	6.63171	"MT2A"
"chr16"	56654228	56654493	"peak1571"	7.84316	"MT1F"
"chr16"	56654228	56654493	"peak1571"	7.84316	"MT1B"
"chr16"	57628353	57628714	"peak1574"	8.04965	"GPR56"
"chr16"	66928230	66928426	"peak1580"	6.30724	"RRAD"
"chr16"	67995533	67995791	"peak1585"	6.37432	"DPEP2"
"chr16"	69564152	69564341	"peak1587"	6.12404	"NFAT5"
"chr16"	69564152	69564341	"peak1587"	6.12404	"MIR1538"
"chr16"	72172374	72172623	"peak1588"	18.08002	"PMFBP1"
"chr1"	43835236	43835410	"peak159"	6.99292	"MIR6079"
"chr16"	80806982	80807169	"peak1599"	7.65572	"CDYL2"
"chr16"	83953073	83953248	"peak1605"	9.35846	"OSGIN1"
"chr16"	84619008	84619182	"peak1609"	3.2025	"COTL1"
"chr1"	43929578	43929882	"peak161"	20.06703	"ARTN"
"chr16"	84644590	84644873	"peak1610"	3.45627	"KLHL36"
"chr16"	86341164	86341375	"peak1614"	11.38511	"LINC00917"
"chr16"	88782516	88782701	"peak1624"	8.71383	"PIEZO1"
"chr16"	89922429	89922603	"peak1625"	7.81143	"TUBB3"
"chr16"	89922429	89922603	"peak1625"	7.81143	"MC1R"
"chr17"	1111332	1111506	"peak1627"	7.03039	"ABR"
"chr17"	7843021	7843195	"peak1628"	6.03723	"KDM6B"
"chr1"	44672314	44672544	"peak163"	10.85478	"TMEM53"
"chr1"	44672314	44672544	"peak163"	10.85478	"C1orf228"
"chr1"	44796767	44796999	"peak164"	9.73245	"PLK3"
"chr1"	44807218	44807409	"peak165"	6.47343	"BTBD19"
"chr1"	44807218	44807409	"peak165"	6.47343	"TCTEX1D4"
"chr17"	30332223	30332407	"peak1657"	9.5117	"TMIGD1"
"chr17"	30926587	30926862	"peak1659"	10.43182	"ADAP2"
"chr17"	35063565	35063856	"peak1667"	9.30996	"RFFL"
"chr17"	35376368	35376555	"peak1669"	5.7689	"SLFN11"
"chr1"	45802857	45803031	"peak167"	6.97507	"MAST2"
"chr17"	36090433	36090691	"peak1671"	3.64965	"CCL3L1"
"chr17"	36090433	36090691	"peak1671"	3.64965	"CCL3"
"chr17"	36196768	36197003	"peak1673"	10.68505	"CCL3L3"
"chr17"	36196768	36197003	"peak1673"	10.68505	"CCL3L1"
"chr17"	39404600	39404841	"peak1676"	4.77466	"FBXL20"
"chr17"	39929302	39929513	"peak1677"	9.63914	"ORMDL3"
"chr17"	39967501	39967705	"peak1678"	8.71383	"GSDMA"
"chr1"	46134838	46135096	"peak168"	15.76093	"PIK3R3"
"chr1"	46134838	46135096	"peak168"	15.76093	"LOC101929626"
"chr17"	40283834	40284054	"peak1680"	8.96506	"CDC6"
"chr17"	40314692	40314922	"peak1681"	10.9982	"RARA"
"chr17"	40707888	40708107	"peak1682"	13.10655	"KRT24"
"chr17"	41404015	41404189	"peak1684"	8.23881	"LOC100505782"
"chr17"	42845901	42846138	"peak1687"	9.79199	"AOC2"
"chr17"	43251604	43251848	"peak1688"	12.94254	"RNU2-1"
"chr17"	44138009	44138458	"peak1692"	7.47058	"C17orf53"
"chr17"	44208469	44208643	"peak1693"	5.52809	"MIR6782"
"chr17"	44348167	44348387	"peak1694"	11.68565	"GRN"
"chr17"	45265934	45266154	"peak1698"	9.03214	"SPATA32"
"chr17"	45265934	45266154	"peak1698"	9.03214	"MAP3K14-AS1"
"chr17"	45487885	45488067	"peak1700"	9.00391	"PLEKHM1"
"chr17"	48972391	48972686	"peak1710"	17.0433	"GIP"
"chr17"	50283329	50283503	"peak1711"	6.63171	"TMEM92-AS1"
"chr17"	50290092	50290392	"peak1712"	5.16406	"TMEM92-AS1"
"chr17"	56915797	56916149	"peak1717"	7.26195	"TRIM25"
"chr1"	46508855	46509037	"peak172"	13.37931	"DMBX1"
"chr17"	57903330	57903507	"peak1722"	4.86629	"CUEDC1"
"chr17"	58337947	58338121	"peak1725"	2.9611	"BZRAP1-AS1"
"chr17"	58337947	58338121	"peak1725"	2.9611	"MIR4736"
"chr17"	58534829	58535170	"peak1726"	6.40493	"sept.-04"
"chr17"	59837720	59837903	"peak1730"	5.53191	"MIR21"
"chr17"	60082615	60082803	"peak1731"	7.37889	"HEATR6"
"chr17"	64974344	64974644	"peak1741"	16.01368	"AMZ2P1"
"chr17"	73228791	73229000	"peak1760"	7.92859	"FAM104A"
"chr17"	73228791	73229000	"peak1760"	7.92859	"C17orf80"
"chr17"	74528662	74528851	"peak1767"	6.20587	"CD300LB"
"chr17"	75779262	75779486	"peak1772"	9.1074	"H3F3B"
"chr17"	77323129	77323345	"peak1775"	6.70603	"sept.-09"
"chr1"	52139861	52140035	"peak179"	7.39328	"ZFYVE9"
"chr17"	81553596	81553775	"peak1790"	5.50166	"C17orf70"
"chr17"	81684359	81684533	"peak1791"	7.81143	"HGS"
"chr17"	81684359	81684533	"peak1791"	7.81143	"ARL16"
"chr17"	81886235	81886470	"peak1792"	11.89595	"ANAPC11"
"chr17"	81916634	81916834	"peak1793"	7.92859	"SIRT7"
"chr18"	110348	110542	"peak1798"	6.49646	"MIR8078"
"chr18"	110348	110542	"peak1798"	6.49646	"ROCK1P1"
"chr18"	3595501	3595760	"peak1802"	12.1341	"DLGAP1-AS1"
"chr18"	3603536	3603710	"peak1803"	8.33257	"DLGAP1-AS2"
"chr18"	12308709	12308896	"peak1816"	8.60098	"TUBB6"
"chr18"	13615698	13615872	"peak1820"	6.80419	"MIR4526"
"chr18"	13615698	13615872	"peak1820"	6.80419	"LDLRAD4"
"chr1"	53837274	53837461	"peak183"	8.45406	"NDC1"
"chr18"	34979074	34979433	"peak1844"	14.48534	"MAPRE2"
"chr1"	54408323	54408610	"peak186"	7.98992	"SSBP3"
"chr18"	55510150	55510353	"peak1872"	10.06975	"TCF4"
"chr18"	70337199	70337373	"peak1885"	4.63707	"LOC101927481"
"chr19"	1102478	1102736	"peak1899"	12.97725	"GPX4"
"chr19"	1253320	1253505	"peak1900"	8.30315	"MIDN"
"chr19"	2627584	2627772	"peak1907"	7.59305	"MIR7850"
"chr19"	2723062	2723272	"peak1908"	6.49518	"DIRAS1"
"chr19"	3155137	3155311	"peak1910"	4.40773	"LOC100996351"
"chr19"	3989484	3989671	"peak1914"	8.96506	"EEF2"
"chr19"	4563620	4563855	"peak1917"	6.78766	"SEMA6B"
"chr19"	4870281	4870455	"peak1920"	6.28281	"PLIN3"
"chr19"	6674976	6675201	"peak1924"	5.82664	"TNFSF14"
"chr19"	7705724	7705898	"peak1929"	7.79019	"FCER2"
"chr19"	10780495	10780676	"peak1935"	6.30724	"MIR4748"
"chr19"	10813130	10813360	"peak1936"	8.57148	"MIR199A1"
